Wavelength (micron),Transit Depth (%): best fit equilibrium,Transit Depth (%): CH4 upper limit,Transit Depth (%): no clouds,Transit Depth (%): no CO2,Transit Depth (%): no H2O,Transit Depth (%): no H2S,Transit Depth (%): cloudy solar
2.925340643,2.142849321,2.138340348,2.117085369,2.141557094,2.103464787,2.145410414,2.148709715
2.935108058,2.13456244,2.130227799,2.101503631,2.133282253,2.099770065,2.136827132,2.129870899
2.944908085,2.142647797,2.138209216,2.115757235,2.142041902,2.094326586,2.145215856,2.141542025
2.954740833,2.140840451,2.136485607,2.112771845,2.140563464,2.089337465,2.143423335,2.136434783
2.964606412,2.140966406,2.136630884,2.11270738,2.140784985,2.085219292,2.143726233,2.141457849
2.974504931,2.137192803,2.132978048,2.105556826,2.137167268,2.080475588,2.139797754,2.134747971
2.9844365,2.134288139,2.130262702,2.099199386,2.13433661,2.076223718,2.136867226,2.133077951
2.994401229,2.132489566,2.128747644,2.09649446,2.132562727,2.073435592,2.135222751,2.130383369
3.00439923,2.134321993,2.130682247,2.099933121,2.134459156,2.072678901,2.137116534,2.134550288
3.014430613,2.128861196,2.125830697,2.08908272,2.128998627,2.067609261,2.131618347,2.127322956
3.02449549,2.1286009,2.126000431,2.08814797,2.128746725,2.063946165,2.13137629,2.129356553
3.034593972,2.130671055,2.128194049,2.093423728,2.130853527,2.062475563,2.133495629,2.129505575
3.044726173,2.125556213,2.124183592,2.082225014,2.125719584,2.059181809,2.128360466,2.128383476
3.054892203,2.126855172,2.128044453,2.083345797,2.127046207,2.05681978,2.129612602,2.132381193
3.065092177,2.120813336,2.123981826,2.071608918,2.120997947,2.055655681,2.123592952,2.123960984
3.075326208,2.12379256,2.126959844,2.078441858,2.123993031,2.054300247,2.126636929,2.127350305
3.085594409,2.11901887,2.125018067,2.068026071,2.119217047,2.053756435,2.12172076,2.127980085
3.095896894,2.121169138,2.127004495,2.073287422,2.121373539,2.053105849,2.12397916,2.131878775
3.106233779,2.117824548,2.126167932,2.066079399,2.118033574,2.052841159,2.120622045,2.131077935
3.116605177,2.115624176,2.124501822,2.062682896,2.115828104,2.052691673,2.118417983,2.130618485
3.127011204,2.109031039,2.121143736,2.049262516,2.109230027,2.053302197,2.111775781,2.129951318
3.137451976,2.116921451,2.12822609,2.064781487,2.117129944,2.05454743,2.119709293,2.13469632
3.147927609,2.111223985,2.125225522,2.053001517,2.11142913,2.054540681,2.113996009,2.134136773
3.158438219,2.110381329,2.126570258,2.050702725,2.110580051,2.055660026,2.113129385,2.134238584
3.168983922,2.106950998,2.125842212,2.043440722,2.107148718,2.056371691,2.109646561,2.135428868
3.179564837,2.105499228,2.124970231,2.040951829,2.105692864,2.057087985,2.108216023,2.135328213
3.19018108,2.107541474,2.127059845,2.044285895,2.107742089,2.055973779,2.110233382,2.135749076
3.20083277,2.11647452,2.132915357,2.061887575,2.116685098,2.056867328,2.119251749,2.140546811
3.211520025,2.107621445,2.128240684,2.042711115,2.107820332,2.05522127,2.110314794,2.135948462
3.222242963,2.106269712,2.126020756,2.041024116,2.106466231,2.055184295,2.108912401,2.135542664
3.233001704,2.106199482,2.126276186,2.040406844,2.10639818,2.054986033,2.108824387,2.132812162
3.243796367,2.10210345,2.123368464,2.032182615,2.102297038,2.055249026,2.104692978,2.134918028
3.254627073,2.095739882,2.117813627,2.019588267,2.09592519,2.052724721,2.098177745,2.125310152
3.265493941,2.096282981,2.118128424,2.019391768,2.096470908,2.050985359,2.098802156,2.127587973
3.276397093,2.102028064,2.120044942,2.031635501,2.102222337,2.051057744,2.104479869,2.126294109
3.287336649,2.095587865,2.114894962,2.018378021,2.095775475,2.049306308,2.097819366,2.120986837
3.298312732,2.099657506,2.11829833,2.026558002,2.099849693,2.051961714,2.102006594,2.126717452
3.309325462,2.097625775,2.121034924,2.023645098,2.097816238,2.057062587,2.099939712,2.13268788
3.320374963,2.098696626,2.135702086,2.02456578,2.09888918,2.077037129,2.100854373,2.150952194
3.331461357,2.094663448,2.135623014,2.016926919,2.094852523,2.081817809,2.096815478,2.152430451
3.342584767,2.099961929,2.13284491,2.027389914,2.100156611,2.074929215,2.101886849,2.14827507
3.353745317,2.094953533,2.125476109,2.016521169,2.095144002,2.066735291,2.096586923,2.138581951
3.364943131,2.094370895,2.120217493,2.015187242,2.094559796,2.062402747,2.095894618,2.129074943
3.376178334,2.094242009,2.118777152,2.014292247,2.094431794,2.059750625,2.095632293,2.126420561
3.387451049,2.093906277,2.118358947,2.013435952,2.094096597,2.060161327,2.09537803,2.12857039
3.398761403,2.09896304,2.120706668,2.024825794,2.099159214,2.064926709,2.100114166,2.125409942
