time,potValue,sensorValue
210931,0,481
211133,0,481
211335,0,481
211536,0,481
211738,0,481
211941,0,481
212143,0,481
212344,0,481
212546,0,481
212748,0,481
212950,0,481
213151,0,481
213353,0,480
213555,0,481
213756,0,480
213958,0,480
214160,0,480
214362,0,480
214563,0,480
214765,0,480
214967,0,480
215169,0,480
215370,0,480
215572,0,480
215774,0,480
215976,0,480
216178,0,480
216380,0,480
216582,0,480
216783,0,480
216985,0,480
217187,0,480
217389,0,480
217590,0,480
217792,0,480
217994,0,480
218195,0,480
218397,0,480
218599,0,480
218801,0,480
219002,0,480
219204,0,480
219406,0,480
219608,0,480
219809,0,480
220012,0,480
220214,0,480
220416,0,479
220617,0,480
220819,0,479
221021,0,480
221222,0,479
221424,0,480
221626,0,479
221828,0,480
222029,0,479
222231,0,479
222433,0,479
222635,0,479
222836,0,479
223038,0,480
223240,0,479
223441,0,479
223643,0,479
223846,0,479
224048,0,479
224249,0,479
224451,0,479
224653,0,479
224855,0,479
225056,0,479
225258,0,479
225460,0,479
225661,0,479
225863,0,479
226065,0,479
226267,0,479
226468,0,479
226670,0,479
226872,0,479
227074,0,479
227275,0,479
227477,0,479
227679,0,479
227881,0,479
228083,0,479
228285,0,479
228487,0,479
228688,0,479
228890,0,479
229092,0,478
229294,0,479
229495,0,479
229697,0,479
229899,0,479
230100,0,479
230302,0,479
230504,0,479
230706,0,479
230907,0,479
231109,0,479
231311,0,479
231513,0,479
231715,0,479
231917,0,478
232119,0,479
232321,0,479
232522,0,479
232724,0,479
232926,0,478
233127,0,479
233329,0,479
233531,0,478
233733,0,479
233934,0,479
234136,0,478
234338,0,478
234540,0,479
234741,0,478
234943,0,478
235145,0,478
235346,0,478
235549,0,478
235751,0,478
235953,0,478
236154,0,478
236356,0,478
236558,0,478
236760,0,478
236961,0,478
237163,0,478
237365,0,478
237566,0,478
237768,0,478
237970,0,478
238172,0,478
238373,0,478
238575,0,478
238777,0,478
238979,0,478
239180,0,478
239382,0,478
239585,0,477
239787,0,478
239988,0,478
240190,0,477
240392,0,477
240593,0,477
240795,0,477
240997,0,477
241199,0,477
241400,0,477
241602,0,477
241804,0,477
242006,0,477
242207,0,477
242409,0,477
242611,0,477
242812,0,477
243014,0,477
243216,0,477
243419,0,478
243620,0,477
243822,0,477
244024,0,477
244226,0,477
244427,0,477
244629,0,477
244831,0,477
245032,0,477
245234,0,477
245436,0,477
245638,0,477
245839,0,477
246041,0,477
246243,0,477
246445,0,477
246646,0,477
246848,0,477
247050,0,477
247252,0,477
247454,0,477
247656,0,477
247858,0,477
248059,0,477
248261,0,477
248463,0,477
248665,0,477
248866,0,477
249068,0,477
249270,0,477
249472,0,477
249673,0,477
249875,0,477
250077,0,477
250278,0,477
250480,0,477
250682,0,477
250884,0,477
251085,0,477
251288,0,477
251490,0,477
251692,0,477
251893,0,477
252095,0,477
252297,0,477
252498,0,476
252700,0,477
252902,0,477
253104,0,477
253305,0,476
253507,0,476
253709,0,476
253911,0,476
254112,0,476
254314,0,476
254516,0,476
254717,0,476
254919,0,476
255122,0,476
255324,0,476
255525,0,476
255727,0,476
255929,0,476
256131,0,476
256332,0,476
256534,0,476
256736,0,476
256937,0,476
257139,0,476
257341,0,476
257543,0,476
257744,0,476
257946,0,476
258148,0,476
258350,0,476
258551,0,476
258753,0,476
258956,0,476
259158,0,476
259359,0,476
259561,0,476
259763,0,476
259964,0,476
260166,0,476
260368,0,476
260570,0,476
260771,0,476
260973,0,476
261175,0,476
261377,0,476
261578,0,476
261780,0,476
261982,0,476
262183,0,476
262385,0,476
262587,0,476
262789,0,476
262991,0,476
263193,0,476
263395,0,476
263597,0,476
263798,0,476
264000,0,476
264202,0,476
264403,0,476
